SkipTrack:false, Metadata:false, RemoveTrack:false, Album:false, WAV:true, NiceToHave:false, Playlist:false, JumpPosition:false, Light:true, OpenFolder:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, TagEditor:false, Tracknumber:false, Codecs:true, Progress:true, AAC:true, PlaylistControls:false, MultiplePlaylists:false, RandomColor:false, SaveandLoad:false, ShuffleRepeat:false, Base:true, OGG:true, YouTube:true, MP3:true, OSColors:false, Reorder:false, Cover:false, Volume:false, Skins:true, Dark:false, ClearPlaylist:false, RemeberStatus:false, Progressbar:true, Titlebar:true, 
SkipTrack:false, Metadata:false, RemoveTrack:false, Album:false, WAV:true, NiceToHave:false, Playlist:false, JumpPosition:false, Light:false, OpenFolder:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, TagEditor:false, Tracknumber:false, Codecs:true, Progress:true, AAC:true, PlaylistControls:false, MultiplePlaylists:false, RandomColor:false, SaveandLoad:false, ShuffleRepeat:false, Base:true, OGG:true, YouTube:true, MP3:true, OSColors:false, Reorder:false, Cover:false, Volume:false, Skins:true, Dark:true, ClearPlaylist:false, RemeberStatus:false, Progressbar:true, Titlebar:true, 
SkipTrack:false, Metadata:false, RemoveTrack:false, Album:false, WAV:true, NiceToHave:false, Playlist:false, JumpPosition:false, Light:false, OpenFolder:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, TagEditor:false, Tracknumber:false, Codecs:true, Progress:true, AAC:true, PlaylistControls:false, MultiplePlaylists:false, RandomColor:false, SaveandLoad:false, ShuffleRepeat:false, Base:true, OGG:true, YouTube:true, MP3:true, OSColors:true, Reorder:false, Cover:false, Volume:false, Skins:true, Dark:false, ClearPlaylist:false, RemeberStatus:false, Progressbar:true, Titlebar:true, 
SkipTrack:false, Metadata:false, RemoveTrack:false, Album:false, WAV:true, NiceToHave:false, Playlist:false, JumpPosition:false, Light:false, OpenFolder:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, TagEditor:false, Tracknumber:false, Codecs:true, Progress:true, AAC:true, PlaylistControls:false, MultiplePlaylists:false, RandomColor:true, SaveandLoad:false, ShuffleRepeat:false, Base:true, OGG:true, YouTube:true, MP3:true, OSColors:false, Reorder:false, Cover:false, Volume:false, Skins:true, Dark:false, ClearPlaylist:false, RemeberStatus:false, Progressbar:true, Titlebar:true, 
SkipTrack:false, Metadata:false, RemoveTrack:false, Album:false, WAV:true, NiceToHave:false, Playlist:false, JumpPosition:true, Light:true, OpenFolder:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, TagEditor:false, Tracknumber:false, Codecs:true, Progress:true, AAC:true, PlaylistControls:false, MultiplePlaylists:false, RandomColor:false, SaveandLoad:false, ShuffleRepeat:false, Base:true, OGG:true, YouTube:true, MP3:true, OSColors:false, Reorder:false, Cover:false, Volume:false, Skins:true, Dark:false, ClearPlaylist:false, RemeberStatus:false, Progressbar:true, Titlebar:true, 
SkipTrack:false, Metadata:false, RemoveTrack:false, Album:false, WAV:true, NiceToHave:false, Playlist:false, JumpPosition:true, Light:false, OpenFolder:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, TagEditor:false, Tracknumber:false, Codecs:true, Progress:true, AAC:true, PlaylistControls:false, MultiplePlaylists:false, RandomColor:false, SaveandLoad:false, ShuffleRepeat:false, Base:true, OGG:true, YouTube:true, MP3:true, OSColors:false, Reorder:false, Cover:false, Volume:false, Skins:true, Dark:true, ClearPlaylist:false, RemeberStatus:false, Progressbar:true, Titlebar:true, 
SkipTrack:false, Metadata:false, RemoveTrack:false, Album:false, WAV:true, NiceToHave:false, Playlist:false, JumpPosition:true, Light:false, OpenFolder:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, TagEditor:false, Tracknumber:false, Codecs:true, Progress:true, AAC:true, PlaylistControls:false, MultiplePlaylists:false, RandomColor:false, SaveandLoad:false, ShuffleRepeat:false, Base:true, OGG:true, YouTube:true, MP3:true, OSColors:true, Reorder:false, Cover:false, Volume:false, Skins:true, Dark:false, ClearPlaylist:false, RemeberStatus:false, Progressbar:true, Titlebar:true, 
SkipTrack:false, Metadata:false, RemoveTrack:false, Album:false, WAV:true, NiceToHave:false, Playlist:false, JumpPosition:true, Light:false, OpenFolder:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, TagEditor:false, Tracknumber:false, Codecs:true, Progress:true, AAC:true, PlaylistControls:false, MultiplePlaylists:false, RandomColor:true, SaveandLoad:false, ShuffleRepeat:false, Base:true, OGG:true, YouTube:true, MP3:true, OSColors:false, Reorder:false, Cover:false, Volume:false, Skins:true, Dark:false, ClearPlaylist:false, RemeberStatus:false, Progressbar:true, Titlebar:true, 
SkipTrack:false, Metadata:false, RemoveTrack:false, Album:false, WAV:true, NiceToHave:false, Playlist:false, JumpPosition:false, Light:true, OpenFolder:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, TagEditor:false, Tracknumber:false, Codecs:true, Progress:true, AAC:true, PlaylistControls:false, MultiplePlaylists:false, RandomColor:false, SaveandLoad:false, ShuffleRepeat:false, Base:true, OGG:true, YouTube:true, MP3:true, OSColors:false, Reorder:false, Cover:false, Volume:false, Skins:true, Dark:false, ClearPlaylist:false, RemeberStatus:false, Progressbar:true, Titlebar:false, 
SkipTrack:false, Metadata:false, RemoveTrack:false, Album:false, WAV:true, NiceToHave:false, Playlist:false, JumpPosition:false, Light:false, OpenFolder:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, TagEditor:false, Tracknumber:false, Codecs:true, Progress:true, AAC:true, PlaylistControls:false, MultiplePlaylists:false, RandomColor:false, SaveandLoad:false, ShuffleRepeat:false, Base:true, OGG:true, YouTube:true, MP3:true, OSColors:false, Reorder:false, Cover:false, Volume:false, Skins:true, Dark:true, ClearPlaylist:false, RemeberStatus:false, Progressbar:true, Titlebar:false, 
SkipTrack:false, Metadata:false, RemoveTrack:false, Album:false, WAV:true, NiceToHave:false, Playlist:false, JumpPosition:false, Light:false, OpenFolder:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, TagEditor:false, Tracknumber:false, Codecs:true, Progress:true, AAC:true, PlaylistControls:false, MultiplePlaylists:false, RandomColor:false, SaveandLoad:false, ShuffleRepeat:false, Base:true, OGG:true, YouTube:true, MP3:true, OSColors:true, Reorder:false, Cover:false, Volume:false, Skins:true, Dark:false, ClearPlaylist:false, RemeberStatus:false, Progressbar:true, Titlebar:false, 
SkipTrack:false, Metadata:false, RemoveTrack:false, Album:false, WAV:true, NiceToHave:false, Playlist:false, JumpPosition:false, Light:false, OpenFolder:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, TagEditor:false, Tracknumber:false, Codecs:true, Progress:true, AAC:true, PlaylistControls:false, MultiplePlaylists:false, RandomColor:true, SaveandLoad:false, ShuffleRepeat:false, Base:true, OGG:true, YouTube:true, MP3:true, OSColors:false, Reorder:false, Cover:false, Volume:false, Skins:true, Dark:false, ClearPlaylist:false, RemeberStatus:false, Progressbar:true, Titlebar:false, 
SkipTrack:false, Metadata:false, RemoveTrack:false, Album:false, WAV:true, NiceToHave:false, Playlist:false, JumpPosition:true, Light:true, OpenFolder:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, TagEditor:false, Tracknumber:false, Codecs:true, Progress:true, AAC:true, PlaylistControls:false, MultiplePlaylists:false, RandomColor:false, SaveandLoad:false, ShuffleRepeat:false, Base:true, OGG:true, YouTube:true, MP3:true, OSColors:false, Reorder:false, Cover:false, Volume:false, Skins:true, Dark:false, ClearPlaylist:false, RemeberStatus:false, Progressbar:true, Titlebar:false, 
SkipTrack:false, Metadata:false, RemoveTrack:false, Album:false, WAV:true, NiceToHave:false, Playlist:false, JumpPosition:true, Light:false, OpenFolder:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, TagEditor:false, Tracknumber:false, Codecs:true, Progress:true, AAC:true, PlaylistControls:false, MultiplePlaylists:false, RandomColor:false, SaveandLoad:false, ShuffleRepeat:false, Base:true, OGG:true, YouTube:true, MP3:true, OSColors:false, Reorder:false, Cover:false, Volume:false, Skins:true, Dark:true, ClearPlaylist:false, RemeberStatus:false, Progressbar:true, Titlebar:false, 
